id,year,age,number_of_visits,county
226,2012,AllAges,19.0,Los Angeles
227,2012,Children (0-17),12.0,Los Angeles
228,2012,Adults (18+),0.0,Los Angeles
229,2012,AllAges,394.0,Los Angeles
230,2012,Children (0-17),206.0,Los Angeles
231,2012,Adults (18+),188.0,Los Angeles
232,2012,AllAges,199.0,Los Angeles
233,2012,Children (0-17),119.0,Los Angeles
234,2012,Adults (18+),80.0,Los Angeles
235,2012,AllAges,347.0,Los Angeles
236,2012,Children (0-17),170.0,Los Angeles
237,2012,Adults (18+),177.0,Los Angeles
238,2012,AllAges,12.0,Los Angeles
239,2012,Children (0-17),0.0,Los Angeles
240,2012,Adults (18+),0.0,Los Angeles
241,2012,AllAges,46.0,Los Angeles
242,2012,Children (0-17),14.0,Los Angeles
243,2012,Adults (18+),32.0,Los Angeles
244,2012,AllAges,121.0,Los Angeles
245,2012,Children (0-17),45.0,Los Angeles
246,2012,Adults (18+),76.0,Los Angeles
247,2012,AllAges,18.0,Los Angeles
248,2012,Children (0-17),0.0,Los Angeles
249,2012,Adults (18+),0.0,Los Angeles
250,2012,AllAges,33.0,Los Angeles
251,2012,Children (0-17),0.0,Los Angeles
252,2012,Adults (18+),27.0,Los Angeles
253,2012,AllAges,44.0,Los Angeles
254,2012,Children (0-17),0.0,Los Angeles
255,2012,Adults (18+),37.0,Los Angeles
256,2012,AllAges,69.0,Los Angeles
257,2012,Children (0-17),30.0,Los Angeles
258,2012,Adults (18+),39.0,Los Angeles
259,2012,AllAges,109.0,Los Angeles
260,2012,Children (0-17),59.0,Los Angeles
261,2012,Adults (18+),50.0,Los Angeles
262,2012,AllAges,384.0,Los Angeles
263,2012,Children (0-17),187.0,Los Angeles
264,2012,Adults (18+),197.0,Los Angeles
265,2012,AllAges,84.0,Los Angeles
266,2012,Children (0-17),23.0,Los Angeles
267,2012,Adults (18+),61.0,Los Angeles
268,2012,AllAges,62.0,Los Angeles
269,2012,Children (0-17),0.0,Los Angeles
270,2012,Adults (18+),55.0,Los Angeles
271,2012,AllAges,24.0,Los Angeles
272,2012,Children (0-17),0.0,Los Angeles
273,2012,Adults (18+),15.0,Los Angeles
274,2012,AllAges,279.0,Los Angeles
275,2012,Children (0-17),125.0,Los Angeles
276,2012,Adults (18+),154.0,Los Angeles
277,2012,AllAges,246.0,Los Angeles
278,2012,Children (0-17),93.0,Los Angeles
279,2012,Adults (18+),153.0,Los Angeles
280,2012,AllAges,225.0,Los Angeles
281,2012,Children (0-17),98.0,Los Angeles
282,2012,Adults (18+),127.0,Los Angeles
283,2012,AllAges,170.0,Los Angeles
284,2012,Children (0-17),110.0,Los Angeles
285,2012,Adults (18+),60.0,Los Angeles
286,2012,AllAges,144.0,Los Angeles
287,2012,Children (0-17),51.0,Los Angeles
288,2012,Adults (18+),93.0,Los Angeles
289,2012,AllAges,45.0,Los Angeles
290,2012,Children (0-17),0.0,Los Angeles
291,2012,Adults (18+),37.0,Los Angeles
292,2012,AllAges,49.0,Los Angeles
293,2012,Children (0-17),12.0,Los Angeles
294,2012,Adults (18+),37.0,Los Angeles
295,2012,AllAges,92.0,Los Angeles
